"","D3","D9","D11","D12","D16","D22","D24","D28","D29","D31","D33","D35","D41","D42","D43","D44","D46","D48","D51","D54","D55","D57","D58","D59","D60","D61","D63","D64","D65","D66","H1","H3","H5","H9","H10","H12","H15","H16","H20","H21","H24","H25","H26","H27","H29","H30","H31","H34","H37","H38","H40","H41","H43","H44","H45","H46","H47","H48","H50","H52"
"Label","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health"
"2-Furoylglycine"," 1.73937165"," 0.34863385","-0.62852724","-0.41289078","-0.37335753","-0.53305299","-0.22792594","-0.38756174","-0.49996924","-0.39241664","-0.16990557","-0.46363801","-0.49634415","-0.48587433","-0.22454004","-0.15926459","-0.56242627","-0.37518239","-0.49887973"," 5.79424892","-0.59237123","-0.01690746","-0.53956482","-0.52882462","-0.55323092","-0.29845896","-0.15734203","-0.32565823","-0.64158286","-0.51743286","-0.54454387"," 2.31061929","-0.13832111"," 0.65730614","-0.34163363","-0.18270877","-0.49453859"," 0.26561635"," 1.28273701","-0.47758223"," 0.11220848","-0.01206694"," 0.99266530","-0.33182907","-0.49765503","-0.40554067","-0.50891518"," 1.02743076","-0.27234563","-0.43523989","-0.28507653"," 0.28503513"," 1.69608306","-0.57175849"," 0.26880655","-0.44468650","-0.61209548"," 0.48343396"," 0.95799480","-0.60252246"
"4-methylpyridine-3-sulfonic acid","-0.19624764","-0.28629919","-0.52257126","-0.04412426","-0.51313719"," 0.11000457","-0.50578892"," 0.97762778","-0.47418558"," 0.14141229","-0.41192739","-0.32620653","-0.42602985"," 4.00950012","-0.47911512","-0.31152526","-0.43508096"," 0.29835283","-0.50984595","-0.33735568","-0.45369664"," 0.07077375","-0.42505370","-0.47239481","-0.49352178"," 1.24500474","-0.19487151","-0.19676701","-0.35081992"," 0.86162466","-0.40748081"," 5.40714369"," 0.44058269","-0.06464946","-0.15605591","-0.35744132","-0.41288730","-0.26931335","-0.02004158","-0.43384604","-0.06780370","-0.44315681"," 0.15415065","-0.42088177","-0.50011821","-0.38130039","-0.17703432","-0.32431132","-0.30630250","-0.47835870"," 1.62412986","-0.21293034"," 0.87211376","-0.35302223"," 0.11750152","-0.44561907","-0.52403338","-0.29467383","-0.52635446","-0.38573997"
"2,4,6-Trihydroxyacetophenone","-0.04229164","-0.15338571","-0.58891715","-0.31928614","-0.22745583"," 0.36594281","-0.37017805","-0.08480995","-0.54401993","-0.40575697","-0.43960903","-0.44976243"," 0.14052321"," 0.14630507","-0.16498767","-0.52510112","-0.44621932","-0.09882281","-0.46234701"," 0.50503522","-0.05723459"," 0.16922329","-0.24788389"," 1.94146696"," 0.12175098"," 0.14507549","-0.25248562","-0.09760074","-0.23669998","-0.03836773","-0.34120109"," 0.23258066","-0.22697497"," 0.05976294"," 0.40171701","-0.22753844"," 0.06364362","-0.27216814"," 0.34445129","-0.35787978"," 0.24410074","-0.31031878","-0.10995885"," 0.02322696","-0.38527778","-0.45135224","-0.47509503","-0.10530842","-0.42109776","-0.49807111","-0.27895570","-0.05663088"," 0.05262736","-0.30916000","-0.51101757"," 0.32693809"," 7.04302333","-0.32388136","-0.18543979","-0.22684407"
"trans-Aconitic acid","-0.21677920","-0.37958967","-0.41059420","-0.35722159","-0.40668653"," 0.43358548","-0.41176982","-0.40495403","-0.38356755","-0.01108171","-0.39264773","-0.40169808","-0.41114153","-0.38240378"," 5.21809525","-0.35500153","-0.39012545","-0.35498914","-0.23408123","-0.36393928"," 1.57228655"," 1.07127991","-0.36765328"," 0.23061829","-0.21199076","-0.32834797","-0.37340321"," 1.74272693","-0.38680783","-0.40762168","-0.37416969","-0.26438986","-0.39820601"," 0.07970312","-0.39896947","-0.36934283","-0.40256803","-0.38387330","-0.27325912","-0.39755805","-0.37892288","-0.38352867","-0.39738502","-0.38782331","-0.40675203","-0.36145369","-0.40080156","-0.36493787","-0.37801428","-0.22581039","-0.36775892","-0.35146632"," 0.27371499","-0.40930834","-0.40828961","-0.38947332"," 1.35769532","-0.34800576"," 2.16437578"," 3.42208347"
"Uridine monophosphate (UMP)","-0.35468087","-0.29203308","-0.25191255","-0.26959487","-0.26262292","-0.18520137","-0.32652963","-0.24863230"," 4.23238424","-0.34374503","-0.32527815","-0.30542535"," 3.09449902"," 0.51797745"," 4.77564297","-0.35712636","-0.18457076","-0.19527913","-0.34436882","-0.27660128","-0.29189546","-0.25942165","-0.27479294","-0.32848990","-0.34169041","-0.34640857","-0.32105174"," 0.21815692","-0.31283240","-0.19374002","-0.35081406","-0.30541146","-0.27100901","-0.30375136","-0.24603055"," 0.02477692","-0.30736467","-0.29264188","-0.32761662","-0.32207158","-0.29528910","-0.33195162","-0.33176483","-0.22184341","-0.34454771"," 0.80962544","-0.34937139","-0.26822982","-0.33291638","-0.32165692","-0.22379372","-0.21826644","-0.31056716"," 1.74488778","-0.35855332","-0.32085830","-0.30083886","-0.32696805","-0.32862784","-0.31126912"
"2'-Deoxyguanosine 5'-monophosphate (dGMP)","-0.577480059"," 1.713955615"," 0.115990090"," 3.210216914","-0.079374871","-0.661711486","-0.036589797","-0.336684041","-0.079629817","-0.500903010","-0.468611049","-0.180512937"," 3.196512210"," 0.063337494"," 0.378221777","-0.595627057","-0.519735720","-0.406079373","-0.117887175","-0.427877717","-0.496258615","-0.420702678"," 0.002639728","-0.234356247","-0.492145908","-0.027408669","-0.476659584"," 3.248025869","-0.347743251"," 0.528010045","-0.624473864","-0.384440836","-0.581554388","-0.373732168","-0.384502032","-0.401558335","-0.567060474","-0.634107129","-0.515626826","-0.094876847","-0.298611720","-0.651916113","-0.538597877"," 3.375861847","-0.665706840"," 1.130216843"," 0.763371804","-0.479256962","-0.462902772","-0.725313183"," 0.394707407","-0.437110788","-0.466018631"," 0.994926497","-0.657522162","-0.461328911","-0.501172798"," 0.409530173","-0.697394717","-0.436758879"
"L-Anserine","-0.289667837","-0.322412983","-0.365898519","-0.214868905","-0.037126020","-0.068567950","-0.317955549","-0.047928732","-0.307870841"," 0.203920600","-0.234278065","-0.310438634"," 0.577056369","-0.418617982","-0.316122772","-0.452747373","-0.358953202","-0.204104558","-0.213398208","-0.383894311","-0.072151882","-0.180309813"," 0.123532137","-0.261503955","-0.404143382"," 0.061501779","-0.097567265","-0.264487184"," 0.201079933","-0.263198995"," 0.944311962","-0.264147061"," 0.005225684"," 0.510055957"," 0.184955851"," 7.134905006","-0.320836346","-0.418584894","-0.042049876","-0.194075266","-0.229380398","-0.386651201","-0.429618576","-0.325707568"," 0.207255208","-0.359034870","-0.021126360","-0.244384445"," 0.283815608","-0.357828923"," 0.048193424","-0.230179160","-0.105673827"," 1.596175587","-0.439153357","-0.286753188","-0.212413805","-0.339806121","-0.297839254","-0.168525694"
"Guanosine monophosphate (GMP)","-0.56101951","-0.47899971","-0.41665855","-0.30432959"," 0.01295787"," 0.11527284","-0.38887478"," 0.35359983"," 5.53825734","-0.49824449","-0.38092416","-0.25479900"," 3.45452603","-0.27693420","-0.01166311","-0.60500131"," 0.35367783"," 0.17630320","-0.50220749"," 2.54234705","-0.16884335"," 0.03746327","-0.38938719","-0.16278030","-0.43096207","-0.51516600","-0.40235180","-0.36827824","-0.30185606"," 0.01011138","-0.54315415","-0.25471076"," 0.08486813","-0.24416409"," 0.01180764","-0.40483930","-0.26974885"," 0.05266688"," 0.63199302","-0.36055272","-0.19040325","-0.60429875","-0.42213409","-0.21664117","-0.50334394","-0.09404698","-0.67065869","-0.31339279","-0.42944993","-0.37452248"," 0.27142646"," 0.48383608","-0.10835234"," 1.51499606","-0.59232183","-0.35284478","-0.22566091","-0.35745897","-0.40220473","-0.29192452"
"Cholic acid","-0.80273802"," 1.99122102","-0.54005644"," 0.46410269","-0.65175400","-0.41434171","-0.35241044","-0.25942255"," 1.39279202"," 0.40737524","-0.43152406","-0.62152174","-0.25589089","-0.49875254","-0.26492575","-0.65367069"," 0.06410541","-0.79916819","-0.84162293"," 0.06644116","-0.60846074","-0.37501696"," 0.06807654","-0.55802273","-0.43905841","-0.75139868","-0.21335162"," 0.44209256","-0.37409665","-0.65436865"," 0.35681492","-0.37011812"," 1.18307814"," 1.28159992","-0.61975363"," 5.43998972"," 0.15770303"," 0.33532203","-0.18163803"," 0.22738731","-0.19989326","-0.69781765","-0.23275397"," 2.72227479"," 0.72229896"," 0.28058230"," 0.01839779","-0.65567676","-0.20220754","-0.17520567","-0.32246163","-0.55091852","-0.75644396"," 0.78434748","-0.78556899"," 0.08262001","-0.87529070","-0.37665050"," 0.18455351","-0.30920324"
"2'-Deoxycytidine 5'-monophosphate (dCMP)","-0.41820423","-0.43720741","-0.22532239"," 1.00724358"," 0.37062335","-0.14630593","-0.39888751","-0.30159938","-0.30682317","-0.44415737","-0.41187337","-0.03042097"," 1.50360446"," 0.61023474","-0.05991772","-0.46755077","-0.10316849","-0.04293669","-0.44524790","-0.41161884","-0.35351336","-0.29674227","-0.41420222","-0.41748819","-0.44056546"," 6.17303338","-0.40448471"," 1.45404107","-0.39011556"," 1.48624897","-0.45651553","-0.37714220","-0.31699944","-0.37423999","-0.27333181","-0.31989593","-0.10912460","-0.40383383","-0.41596151","-0.21521747","-0.35944617","-0.47334120","-0.21420920"," 2.30250252","-0.44556063"," 0.41197598","-0.17472465","-0.39329021","-0.13444131","-0.43380746","-0.23445713","-0.22479427","-0.31744765"," 1.08857116","-0.47004541","-0.40414654","-0.36914831","-0.32349088","-0.41772933","-0.38738261"
"D-Mannose 6-phosphate","-0.04726147","-0.32373346","-0.30638333"," 0.54397510","-0.36290869","-0.36492393","-0.32948959"," 0.53274509"," 0.44275430","-0.31530543","-0.14962286"," 1.03270591","-0.24707888","-0.22978567"," 6.87727846","-0.38155381","-0.11603356","-0.31064405","-0.37982503","-0.36264668","-0.33951041","-0.31394822","-0.35091664","-0.36785597","-0.35526936"," 0.42642813","-0.29618338"," 1.25669609","-0.37943627"," 1.30057995","-0.35346062","-0.32551115","-0.30309460","-0.35752103","-0.35981295","-0.35764242","-0.35848323","-0.11375884"," 0.66618402","-0.37750738","-0.32863092","-0.37137266"," 0.21586026"," 0.81838138","-0.37049400","-0.03408281","-0.10994879","-0.35739056","-0.25452879","-0.35274435","-0.33059447","-0.31250703","-0.31797066"," 0.59932272","-0.37789100","-0.36605396","-0.34638484","-0.32935343","-0.24059469","-0.37525954"
"Rutin","-0.17862072","-0.14574036","-0.18000161","-0.16441207"," 0.17853859","-0.20049538","-0.15955193","-0.14835064","-0.20849352","-0.19540294","-0.18515779","-0.14907652","-0.13760964","-0.07992946","-0.14395603","-0.19764904","-0.14288311","-0.16054516","-0.21119401","-0.14698736","-0.19421927","-0.03683910","-0.09779476","-0.05018421","-0.20435989","-0.22416874","-0.07967086","-0.19201521","-0.17841014","-0.06183495","-0.15955658","-0.14615822","-0.10795798","-0.18229389","-0.15224649","-0.20990301","-0.13406242","-0.21122834"," 0.24756729","-0.09609611","-0.08695793","-0.09244637","-0.10104595","-0.14161211","-0.16910946","-0.18526024","-0.21379950","-0.11386537","-0.20940105","-0.20542599"," 0.26655538","-0.03747180","-0.14206169","-0.16959956","-0.19090749","-0.17064741","-0.10842415"," 0.12218618","-0.19875426"," 7.57700040"
"N-Acetyl-α-D-glucosamine 1-phosphate","-0.25493616","-0.21885693","-0.10665596","-0.12158632","-0.12544997","-0.23846300","-0.16398979","-0.23673758","-0.26325709","-0.28670379","-0.20592609"," 6.92869072","-0.15642060","-0.18931404"," 1.98373222","-0.28209942"," 0.10790871","-0.09096339","-0.28888772","-0.24392228","-0.21988120","-0.04701678","-0.18089143","-0.21084848","-0.22795744","-0.24581769","-0.21476275","-0.23339038","-0.21693014","-0.10145672","-0.28995794","-0.15411804","-0.09849558","-0.24902900","-0.18030833","-0.27176371","-0.17299898","-0.23719713","-0.06578693","-0.25227681","-0.10246734","-0.22171406","-0.14640016","-0.22291341","-0.26408989","-0.25893482","-0.29764974","-0.23322081","-0.18096507","-0.22169210","-0.16673135"," 0.02459450","-0.13540772","-0.21349389","-0.27119606","-0.25471740","-0.24218809","-0.12270213"," 2.13417282","-0.27755932"
"Quercetin-3β-D-glucoside","-0.317078127","-0.198140093","-0.320461720"," 1.718474313"," 0.753561854","-0.366800566","-0.270353921","-0.242907426","-0.390275374","-0.358199552","-0.333095893","-0.244686048","-0.216588768","-0.011240889"," 0.068592569","-0.363703178","-0.229510336","-0.264912520","-0.396892385","-0.239566984","-0.355299220"," 0.030329049","-0.119030458","-0.002370464","-0.372019287","-0.428684327","-0.074621517","-0.349898618","-0.316562148","-0.030918231","-0.021672525","-0.227709293","-0.143933381","-0.302654681","-0.217985832","-0.375330832","-0.207897019","-0.379277052","-0.225629597","-0.114868279","-0.092477002","-0.105925311","-0.102281848","-0.226396021","-0.293772700","-0.310266006","-0.393737713","-0.158408247","-0.392499083","-0.382759005","-0.202911522"," 0.028778725","-0.227497621","-0.294973600","-0.347184371","-0.297541141"," 3.024967090"," 0.419988298"," 6.491039770"," 0.323676062"
"3-Hydroxydecanoic acid","-0.51431104","-0.59909493","-0.07062419"," 0.32911299"," 2.20288494","-0.71310923","-0.11270906","-0.07279081","-0.54178910","-0.59472979"," 0.01484788","-0.20475867"," 0.38785805"," 0.75869486"," 1.50833878","-0.77664286","-0.20069735","-0.23538526"," 4.59596474"," 0.66408291"," 0.53491998"," 0.03467322","-0.60008213","-0.28942120","-0.18282075","-0.49639117"," 0.13341946","-0.36859280","-0.82409495","-0.40921344","-0.80444984","-0.58120601","-0.57833253","-0.61260252","-0.06758069","-0.55727459","-0.63718427","-0.59722892","-0.60633412","-0.28082937"," 0.29600806","-0.47873677","-0.30270552","-0.48199864","-0.51844508","-0.46875655","-0.16487243","-0.44358377","-0.02888025","-0.18259421","-0.72281592"," 0.07983873","-0.31287860","-0.49885456","-0.41017666"," 1.30953423"," 2.23668879"," 0.47250424","-0.82633887"," 3.41254758"
"α-D-Glucose-1,6-bisphosphate"," 0.03587187","-0.25928759","-0.11697737","-0.21924571","-0.13533482","-0.30138512","-0.07777834","-0.30958516","-0.31157376","-0.32084524","-0.21995708"," 1.02085194","-0.11565003","-0.26309191"," 7.09386764","-0.30382322","-0.30589616","-0.09710233","-0.18198403"," 0.78401820"," 0.22048133","-0.15549519","-0.32210270","-0.28472472","-0.23935627","-0.36474732","-0.21812005","-0.34147213","-0.34693796"," 0.40009016","-0.30523757","-0.12981435","-0.21866828","-0.26552795","-0.14931236","-0.30533331","-0.26408895"," 1.71797063","-0.25256450","-0.24208098","-0.21172933","-0.27609880","-0.14944283","-0.28687699","-0.24083050","-0.23389383","-0.29842340","-0.07180317","-0.24207474","-0.25159771","-0.15573082","-0.25526989"," 0.05297415"," 0.82955052","-0.28917472","-0.23519598","-0.32469291","-0.23224122","-0.19183542","-0.26366173"
"3-Indoxyl sulphate","-0.22997655","-0.25785285","-0.19352523","-0.26667326","-0.21582964","-0.27589539","-0.19699263","-0.27378609","-0.26311179","-0.28795047","-0.23784913","-0.23987588","-0.23165397","-0.21571711","-0.16784390","-0.26704133","-0.21527766","-0.20303710","-0.25338116","-0.25889446"," 5.84567167","-0.12847921","-0.22899502"," 0.35696612","-0.18553271","-0.11058188","-0.26890619","-0.20712434","-0.26379128","-0.19230457","-0.19704260","-0.24095786","-0.20122659"," 0.15160812","-0.11239877","-0.06886691","-0.21988036"," 0.58384080","-0.19566495","-0.19639783","-0.18322273","-0.22372942","-0.23651690","-0.24835890","-0.26216650","-0.26991549","-0.28649262","-0.23036483","-0.27457387","-0.27377961","-0.25913591","-0.22530876","-0.19497544","-0.12852164","-0.23868130","-0.20699678"," 4.64151636","-0.24990660","-0.06135279"," 0.24471366"
"2'-Deoxyadenosine 5'-monophosphate (dAMP)","-0.50725562"," 0.34593075"," 0.15424939"," 0.93539726","-0.52112327"," 0.13636116"," 0.01868396","-0.04076179","-0.30912038","-0.52234551","-0.28524015"," 1.64984495"," 1.25749352","-0.15684410","-0.13275279","-0.52924631","-0.51955773","-0.13528174","-0.35852978","-0.24444756","-0.36541956","-0.34195742","-0.40580543","-0.47618526","-0.39193064"," 5.94831529","-0.47912974"," 2.85269608","-0.49297441"," 0.30638182","-0.35608777","-0.04391771","-0.51641011","-0.50909990","-0.19513740","-0.28044312","-0.51040123","-0.52867483","-0.22417054","-0.49030905","-0.07424628","-0.50683462"," 0.08524330"," 1.37981805","-0.50101124"," 0.35768114"," 0.86130495","-0.44912185","-0.11142640","-0.54503532","-0.45215560","-0.07694554","-0.50986091"," 0.24593871","-0.51523802","-0.46812148","-0.23075133","-0.38449224","-0.52334911","-0.31618952"
"Piceatannol","-0.53741100","-0.04134418","-0.30601464","-0.15335879"," 0.14762919","-0.49517697","-0.20276625"," 0.02109643","-0.32462920","-0.30669213","-0.16980473","-0.15708832","-0.31445749","-0.43069385","-0.36683200","-0.36096761","-0.18903798"," 0.80304993"," 1.49251385","-0.50500562","-0.42073965","-0.44126934"," 0.19388269","-0.14424953","-0.48267543","-0.25935520","-0.40125085","-0.26616924","-0.16503969"," 0.87707519","-0.52473335"," 0.76659115"," 0.03170746"," 0.73342858"," 2.16492686","-0.46194036","-0.08428849","-0.59404460"," 0.12952436"," 0.42672965"," 0.36914520","-0.51449330","-0.20205773","-0.09604487","-0.52309436"," 6.53910469","-0.03223549","-0.34954642","-0.26004993","-0.58747755","-0.21316064","-0.38108872","-0.42388550","-0.13280487","-0.35675628","-0.49254146","-0.47720334"," 0.44611720","-0.48423211","-0.50881332"
"7-hydroxy-3-phenyl-4H-chromen-4-one","-0.300786715","-0.201889409","-0.041194674","-0.205651972","-0.121383282","-0.282760436"," 0.095144254","-0.152991492"," 0.071451366","-0.174907264","-0.103107995","-0.023438268","-0.279005796"," 6.558741560","-0.257615092","-0.282084361","-0.004881772","-0.185851950","-0.168359727","-0.220140122"," 0.312131150"," 3.662709078","-0.191999544","-0.236872940","-0.201496036","-0.268545156","-0.237160410","-0.242134509","-0.150375149","-0.062414682","-0.080060475","-0.117827317","-0.122248815","-0.231199574","-0.205644310","-0.117232461","-0.308258893","-0.309302187","-0.209239079","-0.217746570","-0.248300489","-0.261660389","-0.243834590","-0.235650722","-0.128009018","-0.269217896","-0.242257740","-0.276801758","-0.262068549","-0.247019120","-0.200308037","-0.155620632","-0.156194707","-0.042022358","-0.335878339","-0.261145275","-0.238360366","-0.266597739"," 0.003081634","-0.116502883"
"Linoleic Acid"," 0.399938187","-0.514740764"," 0.792731050","-0.305294354"," 0.703206286","-0.265707312","-0.237634419","-0.343592779"," 0.039436635","-0.345107937","-0.627667353"," 0.129792369","-0.811082434","-0.796954171","-0.069230343","-0.741581857"," 0.108770608"," 0.396915936"," 0.892203555","-0.010250979","-0.205113230","-0.165334165","-0.571951446","-0.215306007","-0.353735489","-0.495167836","-0.230180696","-0.203958315","-0.421712150"," 0.547095857","-0.481642555"," 0.676088711"," 0.011546548","-0.001234977"," 0.083777951"," 0.681765316","-0.174830257","-0.572229530","-0.465570695","-0.721194302"," 0.388962661","-0.478619995"," 0.520823769","-0.736420390","-0.508137426","-0.686169349","-0.614858464","-0.288457187"," 0.015174350"," 1.999451472"," 0.539198723"," 0.108034157","-0.068010227","-0.587730807","-0.810351439","-0.110723477","-0.656186973","-0.518520792"," 0.994846120"," 6.382432618"
