ASV,Health,Disease,Bile,Stone
ASV477,13.47169811,3.287878788,1.340425532,3.92
ASV478,0.886792453,0.363636364,12.36170213,9.2
ASV490,6.245283019,10.39393939,0.531914894,0.92
ASV491,8.301886792,4.954545455,2.382978723,2.44
ASV494,14.0754717,2.878787879,0.957446809,0
ASV495,15.41509434,3.287878788,0,0.76
ASV497,11.01886792,6.393939394,0.085106383,0
ASV498,3.679245283,6.651515152,0.340425532,28.56
ASV500,18.54716981,0.136363636,0,0.08
ASV505,8.566037736,6.939393939,0.787234043,0.76
ASV506,14.90566038,2.151515152,1.042553191,0.08
ASV511,14.77358491,3.196969697,1.212765957,0.04
ASV513,16.79245283,1.272727273,0,0
ASV515,17.05660377,1.075757576,0.872340426,0
ASV516,11.79245283,2.227272727,2.617021277,1.04
ASV517,17.43396226,0.954545455,0,0
ASV519,4.132075472,9.53030303,0.170212766,0.04
ASV520,5.490566038,8.939393939,0.085106383,0.64
ASV524,8.641509434,0.106060606,8.617021277,0
ASV525,7.132075472,0.212121212,0,13.36
ASV534,15.35849057,0.696969697,0.106382979,0.12
ASV536,6.150943396,7.924242424,1.404255319,0.36
ASV537,14.66037736,0,0,1.32
ASV539,12.98113208,2.409090909,0.723404255,1
ASV546,3.716981132,9.515151515,0.340425532,0
ASV547,5.58490566,7.833333333,1.063829787,1.04
ASV549,12.54716981,1.893939394,0.021276596,2.12
ASV555,5.660377358,5.636363636,3.063829787,1.36
ASV557,9.698113208,5.060606061,0,0
ASV562,3.886792453,8.136363636,0,0
ASV563,10.79245283,4.136363636,0,0
ASV564,12.16981132,1.409090909,0.787234043,0
ASV565,2.811320755,9.045454545,0.191489362,0.52
ASV566,5.113207547,8.015151515,1.255319149,0
ASV569,3.943396226,4.454545455,0.659574468,9.84
ASV577,4.226415094,7.393939394,0.723404255,0.32
ASV583,6.056603774,6.196969697,0.723404255,0.36
ASV586,9.754716981,5.090909091,0,0
ASV590,7.113207547,3.53030303,1.553191489,3.04
ASV600,6.320754717,5.53030303,0.489361702,0.28
ASV602,12.94339623,0.772727273,0,0
ASV605,15.60377358,0,0,0
ASV606,0.679245283,0,15.76595745,0
ASV609,12.41509434,1.090909091,0.553191489,0
ASV611,6.754716981,4.348484848,0.574468085,2.04
ASV618,7.075471698,3.878787879,0.489361702,1.12
ASV623,10.77358491,1.954545455,0,0.12
ASV627,11.66037736,0,0,0
ASV634,3.679245283,0,8,7.48
ASV648,8.056603774,2.621212121,1.340425532,0
ASV653,6.20754717,4.454545455,0.361702128,0.04
ASV657,13.49056604,0,0,0
ASV666,8.075471698,3,0.14893617,0
ASV673,0.41509434,5.242424242,1.212765957,5.92
ASV674,4.056603774,3.878787879,2.14893617,0.64
ASV675,1.622641509,0.227272727,1.14893617,24.36
ASV676,5.981132075,4.378787879,0.382978723,0.52
